latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-18.4996,-51.68844,305.31,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,289.78,0.85,N
-18.48679,-51.68246,305.13,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,289.82,0.7,N
-18.38961,-51.44026,310.32,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,290.24,1.53,N
-18.25243,-51.26608,302.73,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,290.44,2.78,N
-18.24906,-51.26551,333.69,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,292.88,2.78,N
-18.16888,-51.1041,298.74,0.39,0.37,2026-05-08,449,N,VIIRS,n,2.0NRT,288.4,0.31,N
-17.9452,-52.95875,300.09,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,287.33,1.01,N
-17.70096,-51.66788,309.21,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,288.81,0.51,N
-17.69706,-51.67097,310.57,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,289.37,0.97,N
-17.10564,-51.34538,312.27,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,287.44,0.21,N
-16.42539,-52.79627,347.86,0.39,0.36,2026-05-08,449,N,VIIRS,n,2.0NRT,293.9,5.42,N
-15.62139,-46.51308,300.49,0.39,0.44,2026-05-08,449,N,VIIRS,n,2.0NRT,288.51,0.49,N
-15.61681,-46.51621,351.3,0.39,0.44,2026-05-08,449,N,VIIRS,n,2.0NRT,291.85,5.73,N
-15.07934,-48.94552,316.55,0.44,0.38,2026-05-08,449,N,VIIRS,n,2.0NRT,295.34,2.24,N
-14.17817,-52.88528,333.32,0.4,0.37,2026-05-08,449,N,VIIRS,n,2.0NRT,292.11,3.17,N
-18.95677,-51.6115,335.79,0.43,0.38,2026-05-08,1722,N,VIIRS,l,2.0NRT,307.27,5.39,D
-18.95327,-51.6121,341.29,0.43,0.38,2026-05-08,1722,N,VIIRS,n,2.0NRT,304.18,5.39,D
-18.73551,-46.91736,354.77,0.51,0.49,2026-05-08,1722,N,VIIRS,n,2.0NRT,298.78,12.92,D
-18.58358,-45.21236,367.0,0.33,0.55,2026-05-08,1722,N,VIIRS,h,2.0NRT,299.05,6.04,D
-15.23182,-50.84836,342.97,0.51,0.41,2026-05-08,1722,N,VIIRS,n,2.0NRT,299.41,207.65,D
